"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","PowerDb","NoisevalueDb"
1,"Spectrogram 1",1,288.575,288.807349352,0,8000,19.62,"1_Phaser1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",43.557028283541,64.3388304343372
2,"Spectrogram 1",1,291.616664249,293.644440415,0,8000,20.37,"1_Upsweep1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",49.2575195886705,64.3388304343372
3,"Spectrogram 1",1,295.608848576,297.750320689,0,8000,18.85,"1_Downsweep1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.3671523443706,64.3388304343372
4,"Spectrogram 1",1,300.636043659,302.706065159,0,8000,20.3,"1_Upsweep2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.5388575917303,64.3388304343372
5,"Spectrogram 1",1,304.588874169,306.701141009,0,8000,19.64,"1_Downsweep2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.728272914732,64.3388304343372
6,"Spectrogram 1",1,309.594946579,311.686090749,0,8000,21.11,"1_Upsweep3","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",45.7462881785052,64.3388304343372
7,"Spectrogram 1",1,313.629376239,315.741643079,0,8000,19.89,"1_Downsweep3","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.9532047291054,64.3388304343372
8,"Spectrogram 1",1,317.632121899,317.885593919,0,8000,20.82,"1_Phaser2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.297266778491,64.3388304343372
9,"Spectrogram 1",1,326.961218779,331.449901599,580,1080.8,21.58,"1_Hfunstart","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",51.1751320355948,33.7315385455473
10,"Spectrogram 1",1,342.357931729,343.893338949,143.4,470.1,12.57,"1_Pmor_start","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",38.7180182518766,38.036976850702
11,"Spectrogram 1",1,344.918701289,345.949317089,159.3,709.1,13.61,"1_Pmor_P1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",50.415611024092,38.8425044191973
12,"Spectrogram 1",1,331.494519279,338.291279029,580,1526.5,16.55,"1_Hfuntrill","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",45.4509630369368,35.7663023968887
13,"Spectrogram 1",1,347.193806709,347.967179809,326.7,756.9,20.95,"1_Pmor_P2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",53.3402936041035,35.4305577191628
14,"Spectrogram 1",1,349.320582729,350.302171669,294.8,669.3,19.68,"1_Pmor_P3","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",52.4566770393306,35.5898013729027
15,"Spectrogram 1",1,351.848917869,352.666908649,318.7,693.2,19.6,"1_Pmor_P4","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",49.4916078188145,35.1693612139167
16,"Spectrogram 1",1,354.364821669,355.167939889,278.9,605.5,16.78,"1_Pmor_P5","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",48.6669918975595,35.4914764282661
17,"Spectrogram 1",1,357.160862879,358.023471339,294.8,701.1,20.6,"1_Pmor_P6","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",52.6461627552566,35.7965408692915
18,"Spectrogram 1",1,359.964773909,361.080215879,255,669.3,16.47,"1_Pmor_P7","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.2774139419379,36.4440587296469
19,"Spectrogram 1",1,363.028521189,364.352178999,159.3,390.4,12.94,"1_Pmor_P8","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",41.2854290121609,36.6657026646256
20,"Spectrogram 1",1,366.580782179,367.919312549,127.5,398.4,12.21,"1_Pmor_P9","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",40.6380636639586,37.8980615627783
21,"Spectrogram 1",1,370.097002369,371.643748569,127.5,398.4,13.26,"1_Pmor_P10","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",38.3566402314355,37.8980615627783
22,"Spectrogram 1",1,393.908321659,401.101599259,589.6,1381.6,12.55,"1_Halbstart","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",44.0314471033671,35.1692944480175
1,"Spectrogram 1",1,288.575,288.807349352,0,8000,19.62,"1_Phaser1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",43.557028283541,64.3388304343372
2,"Spectrogram 1",1,291.616664249,293.644440415,0,8000,20.37,"1_Upsweep1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",49.2575195886705,64.3388304343372
3,"Spectrogram 1",1,295.608848576,297.750320689,0,8000,18.85,"1_Downsweep1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.3671523443706,64.3388304343372
4,"Spectrogram 1",1,300.636043659,302.706065159,0,8000,20.3,"1_Upsweep2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.5388575917303,64.3388304343372
5,"Spectrogram 1",1,304.588874169,306.701141009,0,8000,19.64,"1_Downsweep2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.728272914732,64.3388304343372
6,"Spectrogram 1",1,309.594946579,311.686090749,0,8000,21.11,"1_Upsweep3","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",45.7462881785052,64.3388304343372
7,"Spectrogram 1",1,313.629376239,315.741643079,0,8000,19.89,"1_Downsweep3","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.9532047291054,64.3388304343372
8,"Spectrogram 1",1,317.632121899,317.885593919,0,8000,20.82,"1_Phaser2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.297266778491,64.3388304343372
9,"Spectrogram 1",1,326.961218779,331.449901599,580,1080.8,21.58,"1_Hfunstart","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",51.1751320355948,33.7315385455473
10,"Spectrogram 1",1,342.357931729,343.893338949,143.4,470.1,12.57,"1_Pmor_start","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",38.7180182518766,38.036976850702
11,"Spectrogram 1",1,344.918701289,345.949317089,159.3,709.1,13.61,"1_Pmor_P1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",50.415611024092,38.8425044191973
12,"Spectrogram 1",1,331.494519279,338.291279029,580,1526.5,16.55,"1_Hfuntrill","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",45.4509630369368,35.7663023968887
13,"Spectrogram 1",1,347.193806709,347.967179809,326.7,756.9,20.95,"1_Pmor_P2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",53.3402936041035,35.4305577191628
14,"Spectrogram 1",1,349.320582729,350.302171669,294.8,669.3,19.68,"1_Pmor_P3","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",52.4566770393306,35.5898013729027
15,"Spectrogram 1",1,351.848917869,352.666908649,318.7,693.2,19.6,"1_Pmor_P4","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",49.4916078188145,35.1693612139167
16,"Spectrogram 1",1,354.364821669,355.167939889,278.9,605.5,16.78,"1_Pmor_P5","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",48.6669918975595,35.4914764282661
17,"Spectrogram 1",1,357.160862879,358.023471339,294.8,701.1,20.6,"1_Pmor_P6","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",52.6461627552566,35.7965408692915
18,"Spectrogram 1",1,359.964773909,361.080215879,255,669.3,16.47,"1_Pmor_P7","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.2774139419379,36.4440587296469
19,"Spectrogram 1",1,363.028521189,364.352178999,159.3,390.4,12.94,"1_Pmor_P8","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",41.2854290121609,36.6657026646256
20,"Spectrogram 1",1,366.580782179,367.919312549,127.5,398.4,12.21,"1_Pmor_P9","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",40.6380636639586,37.8980615627783
21,"Spectrogram 1",1,370.097002369,371.643748569,127.5,398.4,13.26,"1_Pmor_P10","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",38.3566402314355,37.8980615627783
22,"Spectrogram 1",1,393.908321659,401.101599259,589.6,1381.6,12.55,"1_Halbstart","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",44.0314471033671,35.1692944480175
23,"Spectrogram 1",1,401.269863059,405.939183659,748.9,1593.5,18.64,"1_Halbpeak","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.380083831501,34.6639020203194
24,"Spectrogram 1",1,406.326441759,409.334157259,358.5,900.3,12.1,"1_Halbend","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.6787875524413,35.7335682399023
25,"Spectrogram 1",1,412.04908468,412.89040368,661.334,980.034,15.94,"1_PwurP_P1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",45.7139854616368,31.7832175031984
26,"Spectrogram 1",1,413.991343418,414.769563518,605.247,1043.447,23.84,"1_PwurP_P2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",50.9188160592022,33.1441610659973
27,"Spectrogram 1",1,415.89926508,416.55128738,609.87,1024.17,23.78,"1_PwurP_P3","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",51.2692228015198,32.9365947898243
28,"Spectrogram 1",1,417.604585914,418.403839014,786.238,1096.938,17.51,"1_PwurP_P4","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",36.5256373943545,30.816408468048
29,"Spectrogram 1",1,419.626035257,420.467354357,736.526,1007.426,23.98,"1_PwurP_P5","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",46.9941895420656,30.730127644306
30,"Spectrogram 1",1,423.492389459,424.375774359,23.9,255,14.43,"1_PwurS_S1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.6275015978924,43.7611401260293
31,"Spectrogram 1",1,426.037379459,426.815599559,47.8,247,13.65,"1_PwurS_S2","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.9909062860598,41.3914566324308
32,"Spectrogram 1",1,428.372039759,429.360589559,39.8,239,14.91,"1_PwurS_S3","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",49.7117598464981,42.191008610839
33,"Spectrogram 1",1,430.917029759,431.905579659,31.9,247,14.3,"1_PwurS_S4","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",49.2768732319144,42.9931981802677
34,"Spectrogram 1",1,433.374673559,434.279091559,31.9,207.2,13.76,"1_PwurS_S5","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",44.5088054768031,42.7201822499323
35,"Spectrogram 1",1,438.044,438.276349352,0,8000,20.86,"2_Phaser1","112","112_S01143_20190812_140005-1",100,"2 (S4A07369)","20190812","1400",47.5754761933361,64.3388304343372
